,date,time,kidmap,AR_CAT
0,1979-12-01,1979-12-01 12:00:00,2864.0,2
1,1979-12-01,1979-12-01 12:00:00,2861.0,2
2,1979-12-01,1979-12-01 18:00:00,2864.0,2
3,1979-12-01,1979-12-01 18:00:00,2861.0,2
4,1979-12-02,1979-12-02 00:00:00,2861.0,1
5,1979-12-02,1979-12-02 06:00:00,2861.0,1
6,1979-12-02,1979-12-02 12:00:00,2861.0,1
7,1979-12-08,1979-12-08 06:00:00,2871.0,2
8,1979-12-08,1979-12-08 12:00:00,2871.0,2
9,1979-12-08,1979-12-08 18:00:00,2871.0,2
10,1979-12-09,1979-12-09 06:00:00,2871.0,1
11,1979-12-09,1979-12-09 12:00:00,2871.0,1
12,1979-12-16,1979-12-16 12:00:00,2975.0,1
13,1979-12-16,1979-12-16 18:00:00,2975.0,1
14,1979-12-17,1979-12-17 00:00:00,2975.0,3
15,1979-12-21,1979-12-21 00:00:00,2988.0,1
16,1979-12-21,1979-12-21 06:00:00,2988.0,1
17,1979-12-21,1979-12-21 12:00:00,2988.0,1
18,1979-12-21,1979-12-21 18:00:00,2988.0,1
19,1979-12-22,1979-12-22 00:00:00,2988.0,1
20,1979-12-22,1979-12-22 06:00:00,2988.0,1
21,1979-12-24,1979-12-24 06:00:00,3026.0,1
22,1979-12-24,1979-12-24 18:00:00,3033.0,1
23,1979-12-25,1979-12-25 00:00:00,3033.0,3
24,1979-12-25,1979-12-25 06:00:00,3033.0,3
25,1979-12-27,1979-12-27 00:00:00,3038.0,2
26,1979-12-27,1979-12-27 06:00:00,3038.0,2
27,1979-12-27,1979-12-27 12:00:00,3038.0,2
28,1979-12-27,1979-12-27 18:00:00,3038.0,2
29,1979-12-28,1979-12-28 00:00:00,3038.0,1
30,1979-12-28,1979-12-28 06:00:00,3038.0,1
31,1979-12-28,1979-12-28 12:00:00,3038.0,1
32,1979-12-30,1979-12-30 12:00:00,3065.0,1
33,1979-12-30,1979-12-30 18:00:00,3065.0,1
34,1980-01-07,1980-01-07 18:00:00,3137.0,1
35,1980-01-14,1980-01-14 12:00:00,3197.0,2
36,1980-01-15,1980-01-15 00:00:00,3204.0,1
37,1980-01-17,1980-01-17 18:00:00,3223.0,1
38,1980-01-18,1980-01-18 00:00:00,3223.0,1
39,1980-01-18,1980-01-18 06:00:00,3223.0,1
40,1980-01-22,1980-01-22 06:00:00,3253.0,2
41,1980-01-22,1980-01-22 12:00:00,3253.0,2
42,1980-01-22,1980-01-22 18:00:00,3253.0,2
43,1980-01-23,1980-01-23 00:00:00,3253.0,2
44,1980-01-23,1980-01-23 06:00:00,3264.0,2
45,1980-01-23,1980-01-23 12:00:00,3253.0,2
46,1980-01-23,1980-01-23 18:00:00,3253.0,2
