time,Unnamed: 0,date,time,kidmap,AR_CAT,hlat,hlon,tlat,tlon
1979-12-01 12:00:00,0,1979-12-01,1979-12-01 12:00:00,2864.0,2,33.0,109.5,18.0,93.0
1979-12-01 12:00:00,1,1979-12-01,1979-12-01 12:00:00,2861.0,2,40.5,67.5,27.0,51.0
1979-12-01 18:00:00,2,1979-12-01,1979-12-01 18:00:00,2864.0,2,33.0,112.5,16.5,93.0
1979-12-01 18:00:00,3,1979-12-01,1979-12-01 18:00:00,2861.0,2,43.5,70.5,25.5,54.0
1979-12-02 00:00:00,4,1979-12-02,1979-12-02 00:00:00,2861.0,1,51.0,75.0,24.0,54.0
1979-12-02 06:00:00,5,1979-12-02,1979-12-02 06:00:00,2861.0,1,54.0,76.5,42.0,33.0
1979-12-02 12:00:00,6,1979-12-02,1979-12-02 12:00:00,2861.0,1,58.5,84.0,37.5,55.5
1979-12-08 06:00:00,7,1979-12-08,1979-12-08 06:00:00,2871.0,2,52.5,64.5,52.5,4.5
1979-12-08 12:00:00,8,1979-12-08,1979-12-08 12:00:00,2871.0,2,55.5,69.0,52.5,7.5
1979-12-08 18:00:00,9,1979-12-08,1979-12-08 18:00:00,2871.0,2,69.0,106.5,39.0,58.5
1979-12-09 06:00:00,10,1979-12-09,1979-12-09 06:00:00,2871.0,1,55.5,87.0,34.5,58.5
1979-12-09 12:00:00,11,1979-12-09,1979-12-09 12:00:00,2871.0,1,64.5,91.5,43.5,33.0
1979-12-16 12:00:00,12,1979-12-16,1979-12-16 12:00:00,2975.0,1,40.5,61.5,24.0,55.5
1979-12-16 18:00:00,13,1979-12-16,1979-12-16 18:00:00,2975.0,1,42.0,63.0,24.0,60.0
1979-12-17 00:00:00,14,1979-12-17,1979-12-17 00:00:00,2975.0,3,37.5,67.5,24.0,60.0
1979-12-21 00:00:00,15,1979-12-21,1979-12-21 00:00:00,2988.0,1,40.5,64.5,21.0,46.5
1979-12-21 06:00:00,16,1979-12-21,1979-12-21 06:00:00,2988.0,1,46.5,66.0,21.0,49.5
1979-12-21 12:00:00,17,1979-12-21,1979-12-21 12:00:00,2988.0,1,31.5,70.5,19.5,48.0
1979-12-21 18:00:00,18,1979-12-21,1979-12-21 18:00:00,2988.0,1,30.0,73.5,19.5,51.0
1979-12-22 00:00:00,19,1979-12-22,1979-12-22 00:00:00,2988.0,1,30.0,75.0,19.5,49.5
1979-12-22 06:00:00,20,1979-12-22,1979-12-22 06:00:00,2988.0,1,31.5,73.5,19.5,51.0
1979-12-24 06:00:00,21,1979-12-24,1979-12-24 06:00:00,3026.0,1,28.5,69.0,19.5,49.5
1979-12-24 18:00:00,22,1979-12-24,1979-12-24 18:00:00,3033.0,1,25.5,84.0,19.5,52.5
1979-12-25 00:00:00,23,1979-12-25,1979-12-25 00:00:00,3033.0,3,25.5,84.0,19.5,54.0
1979-12-25 06:00:00,24,1979-12-25,1979-12-25 06:00:00,3033.0,3,25.5,82.5,22.5,61.5
1979-12-27 00:00:00,25,1979-12-27,1979-12-27 00:00:00,3038.0,2,27.0,67.5,18.0,42.0
1979-12-27 06:00:00,26,1979-12-27,1979-12-27 06:00:00,3038.0,2,27.0,69.0,18.0,42.0
1979-12-27 12:00:00,27,1979-12-27,1979-12-27 12:00:00,3038.0,2,28.5,72.0,21.0,40.5
1979-12-27 18:00:00,28,1979-12-27,1979-12-27 18:00:00,3038.0,2,27.0,70.5,22.5,49.5
1979-12-28 00:00:00,29,1979-12-28,1979-12-28 00:00:00,3038.0,1,27.0,72.0,21.0,43.5
1979-12-28 06:00:00,30,1979-12-28,1979-12-28 06:00:00,3038.0,1,28.5,70.5,22.5,46.5
1979-12-28 12:00:00,31,1979-12-28,1979-12-28 12:00:00,3038.0,1,27.0,75.0,21.0,42.0
1979-12-30 12:00:00,32,1979-12-30,1979-12-30 12:00:00,3065.0,1,28.5,72.0,22.5,48.0
1979-12-30 18:00:00,33,1979-12-30,1979-12-30 18:00:00,3065.0,1,30.0,70.5,22.5,52.5
1980-01-07 18:00:00,34,1980-01-07,1980-01-07 18:00:00,3137.0,1,49.5,70.5,43.5,52.5
1980-01-14 12:00:00,35,1980-01-14,1980-01-14 12:00:00,3197.0,2,37.5,64.5,25.5,54.0
1980-01-15 00:00:00,36,1980-01-15,1980-01-15 00:00:00,3204.0,1,31.5,70.5,24.0,54.0
1980-01-17 18:00:00,37,1980-01-17,1980-01-17 18:00:00,3223.0,1,33.0,63.0,22.5,54.0
1980-01-18 00:00:00,38,1980-01-18,1980-01-18 00:00:00,3223.0,1,34.5,66.0,21.0,55.5
1980-01-18 06:00:00,39,1980-01-18,1980-01-18 06:00:00,3223.0,1,37.5,67.5,22.5,61.5
1980-01-22 06:00:00,40,1980-01-22,1980-01-22 06:00:00,3253.0,2,37.5,64.5,22.5,37.5
1980-01-22 12:00:00,41,1980-01-22,1980-01-22 12:00:00,3253.0,2,37.5,67.5,12.0,43.5
1980-01-22 18:00:00,42,1980-01-22,1980-01-22 18:00:00,3253.0,2,37.5,69.0,15.0,40.5
1980-01-23 00:00:00,43,1980-01-23,1980-01-23 00:00:00,3253.0,2,42.0,70.5,19.5,25.5
1980-01-23 06:00:00,44,1980-01-23,1980-01-23 06:00:00,3264.0,2,58.5,87.0,39.0,61.5
1980-01-23 12:00:00,45,1980-01-23,1980-01-23 12:00:00,3253.0,2,40.5,73.5,18.0,27.0
1980-01-23 18:00:00,46,1980-01-23,1980-01-23 18:00:00,3253.0,2,33.0,72.0,19.5,37.5
1980-01-24 00:00:00,47,1980-01-24,1980-01-24 00:00:00,3253.0,1,33.0,72.0,18.0,39.0
1980-01-24 06:00:00,48,1980-01-24,1980-01-24 06:00:00,3253.0,1,33.0,70.5,18.0,39.0
1980-01-24 12:00:00,49,1980-01-24,1980-01-24 12:00:00,3253.0,1,33.0,73.5,18.0,42.0
1980-01-24 18:00:00,50,1980-01-24,1980-01-24 18:00:00,3253.0,1,33.0,73.5,21.0,49.5
1980-01-25 12:00:00,51,1980-01-25,1980-01-25 12:00:00,3281.0,1,34.5,73.5,16.5,43.5
1980-02-02 06:00:00,52,1980-02-02,1980-02-02 06:00:00,3347.0,3,34.5,70.5,16.5,75.0
1980-02-03 12:00:00,53,1980-02-03,1980-02-03 12:00:00,3356.0,3,25.5,91.5,16.5,75.0
1980-02-03 18:00:00,54,1980-02-03,1980-02-03 18:00:00,3356.0,3,24.0,90.0,18.0,75.0
1980-02-04 12:00:00,55,1980-02-04,1980-02-04 12:00:00,3366.0,3,24.0,97.5,18.0,75.0
1980-02-04 18:00:00,56,1980-02-04,1980-02-04 18:00:00,3366.0,3,24.0,99.0,21.0,79.5
1980-02-05 06:00:00,57,1980-02-05,1980-02-05 06:00:00,3376.0,3,25.5,105.0,24.0,85.5
1980-02-05 12:00:00,58,1980-02-05,1980-02-05 12:00:00,3376.0,3,25.5,106.5,22.5,84.0
1980-02-10 12:00:00,59,1980-02-10,1980-02-10 12:00:00,3401.0,2,36.0,64.5,9.0,42.0
1980-02-10 18:00:00,60,1980-02-10,1980-02-10 18:00:00,3401.0,2,31.5,72.0,13.5,37.5
1980-02-11 00:00:00,61,1980-02-11,1980-02-11 00:00:00,3401.0,2,33.0,48.0,13.5,37.5
1980-02-11 12:00:00,62,1980-02-11,1980-02-11 12:00:00,3401.0,2,37.5,63.0,15.0,43.5
1980-02-11 18:00:00,63,1980-02-11,1980-02-11 18:00:00,3401.0,2,39.0,64.5,18.0,43.5
1980-02-12 00:00:00,64,1980-02-12,1980-02-12 00:00:00,3401.0,1,40.5,70.5,18.0,43.5
1980-02-12 06:00:00,65,1980-02-12,1980-02-12 06:00:00,3401.0,1,42.0,72.0,19.5,48.0
1980-02-12 12:00:00,66,1980-02-12,1980-02-12 12:00:00,3401.0,1,30.0,75.0,19.5,49.5
1980-02-12 18:00:00,67,1980-02-12,1980-02-12 18:00:00,3401.0,1,42.0,76.5,21.0,52.5
1980-02-13 00:00:00,68,1980-02-13,1980-02-13 00:00:00,3401.0,3,30.0,78.0,21.0,54.0
1980-02-13 06:00:00,69,1980-02-13,1980-02-13 06:00:00,3401.0,3,30.0,78.0,21.0,55.5
1980-02-13 12:00:00,70,1980-02-13,1980-02-13 12:00:00,3401.0,3,37.5,69.0,21.0,55.5
1980-02-13 18:00:00,71,1980-02-13,1980-02-13 18:00:00,3401.0,3,34.5,73.5,19.5,57.0
1980-02-14 00:00:00,72,1980-02-14,1980-02-14 00:00:00,3401.0,3,34.5,73.5,21.0,61.5
1980-02-14 06:00:00,73,1980-02-14,1980-02-14 06:00:00,3401.0,3,34.5,73.5,21.0,66.0
1980-02-14 12:00:00,74,1980-02-14,1980-02-14 12:00:00,3401.0,3,31.5,75.0,21.0,67.5
1980-02-14 18:00:00,75,1980-02-14,1980-02-14 18:00:00,3401.0,3,33.0,75.0,19.5,70.5
1980-02-17 18:00:00,76,1980-02-17,1980-02-17 18:00:00,3465.0,2,25.5,67.5,21.0,42.0
1980-02-18 00:00:00,77,1980-02-18,1980-02-18 00:00:00,3465.0,1,24.0,69.0,22.5,45.0
1980-02-18 06:00:00,78,1980-02-18,1980-02-18 06:00:00,3465.0,1,24.0,67.5,16.5,48.0
1980-02-18 12:00:00,79,1980-02-18,1980-02-18 12:00:00,3465.0,1,25.5,70.5,24.0,51.0
1980-02-18 18:00:00,80,1980-02-18,1980-02-18 18:00:00,3465.0,1,25.5,72.0,24.0,54.0
1980-02-19 00:00:00,81,1980-02-19,1980-02-19 00:00:00,3465.0,1,22.5,73.5,24.0,54.0
1980-02-19 06:00:00,82,1980-02-19,1980-02-19 06:00:00,3465.0,1,37.5,69.0,24.0,55.5
1980-02-20 06:00:00,83,1980-02-20,1980-02-20 06:00:00,3486.0,2,27.0,76.5,16.5,27.0
1980-02-20 12:00:00,84,1980-02-20,1980-02-20 12:00:00,3486.0,2,27.0,78.0,18.0,28.5
1980-02-20 18:00:00,85,1980-02-20,1980-02-20 18:00:00,3486.0,2,28.5,82.5,19.5,42.0
1980-02-21 00:00:00,86,1980-02-21,1980-02-21 00:00:00,3486.0,1,25.5,82.5,19.5,43.5
1980-02-21 06:00:00,87,1980-02-21,1980-02-21 06:00:00,3486.0,1,30.0,72.0,16.5,45.0
1980-02-21 12:00:00,88,1980-02-21,1980-02-21 12:00:00,3486.0,1,24.0,79.5,22.5,51.0
1980-02-25 00:00:00,89,1980-02-25,1980-02-25 00:00:00,3540.0,2,34.5,64.5,16.5,42.0
1980-02-25 06:00:00,90,1980-02-25,1980-02-25 06:00:00,3540.0,2,33.0,72.0,16.5,43.5
1980-02-25 12:00:00,91,1980-02-25,1980-02-25 12:00:00,3540.0,2,39.0,69.0,18.0,49.5
1980-02-25 18:00:00,92,1980-02-25,1980-02-25 18:00:00,3540.0,2,40.5,72.0,18.0,52.5
1980-02-26 00:00:00,93,1980-02-26,1980-02-26 00:00:00,3540.0,1,28.5,76.5,18.0,52.5
1980-02-26 06:00:00,94,1980-02-26,1980-02-26 06:00:00,3540.0,1,27.0,78.0,21.0,55.5
1980-02-26 12:00:00,95,1980-02-26,1980-02-26 12:00:00,3540.0,1,27.0,78.0,25.5,54.0
1980-02-26 18:00:00,96,1980-02-26,1980-02-26 18:00:00,3540.0,1,27.0,79.5,25.5,58.5
1980-03-01 00:00:00,97,1980-03-01,1980-03-01 00:00:00,3579.0,2,22.5,90.0,19.5,28.5
1980-03-01 06:00:00,98,1980-03-01,1980-03-01 06:00:00,3580.0,2,25.5,103.5,19.5,73.5
1980-03-01 06:00:00,99,1980-03-01,1980-03-01 06:00:00,3579.0,2,25.5,66.0,16.5,43.5
1980-03-01 12:00:00,100,1980-03-01,1980-03-01 12:00:00,3580.0,2,27.0,105.0,19.5,81.0
1980-03-01 12:00:00,101,1980-03-01,1980-03-01 12:00:00,3579.0,2,25.5,69.0,18.0,28.5
1980-03-01 18:00:00,102,1980-03-01,1980-03-01 18:00:00,3580.0,2,28.5,109.5,18.0,82.5
1980-03-01 18:00:00,103,1980-03-01,1980-03-01 18:00:00,3579.0,2,30.0,70.5,18.0,25.5
1980-03-02 00:00:00,104,1980-03-02,1980-03-02 00:00:00,3580.0,2,30.0,114.0,18.0,81.0
1980-03-02 00:00:00,105,1980-03-02,1980-03-02 00:00:00,3579.0,2,25.5,72.0,16.5,28.5
1980-03-02 06:00:00,106,1980-03-02,1980-03-02 06:00:00,3580.0,2,33.0,118.5,18.0,87.0
1980-03-02 06:00:00,107,1980-03-02,1980-03-02 06:00:00,3579.0,2,25.5,75.0,18.0,37.5
1980-03-02 12:00:00,108,1980-03-02,1980-03-02 12:00:00,3579.0,2,25.5,81.0,19.5,42.0
1980-03-02 12:00:00,109,1980-03-02,1980-03-02 12:00:00,3580.0,2,28.5,109.5,19.5,93.0
1980-03-02 18:00:00,110,1980-03-02,1980-03-02 18:00:00,3579.0,2,24.0,85.5,18.0,43.5
1980-03-03 00:00:00,111,1980-03-03,1980-03-03 00:00:00,3579.0,1,24.0,87.0,15.0,48.0
1980-03-03 06:00:00,112,1980-03-03,1980-03-03 06:00:00,3579.0,1,24.0,88.5,15.0,48.0
1980-03-03 12:00:00,113,1980-03-03,1980-03-03 12:00:00,3579.0,1,22.5,85.5,16.5,42.0
1980-03-03 18:00:00,114,1980-03-03,1980-03-03 18:00:00,3579.0,1,22.5,88.5,16.5,43.5
1980-03-04 00:00:00,115,1980-03-04,1980-03-04 00:00:00,3579.0,1,24.0,85.5,16.5,51.0
1980-03-05 06:00:00,116,1980-03-05,1980-03-05 06:00:00,3603.0,1,22.5,85.5,19.5,54.0
1980-03-05 12:00:00,117,1980-03-05,1980-03-05 12:00:00,3603.0,1,36.0,73.5,19.5,55.5
1980-03-05 18:00:00,118,1980-03-05,1980-03-05 18:00:00,3603.0,1,25.5,88.5,19.5,57.0
1980-03-07 00:00:00,119,1980-03-07,1980-03-07 00:00:00,3591.0,3,31.5,133.5,13.5,105.0
1980-03-07 12:00:00,120,1980-03-07,1980-03-07 12:00:00,3591.0,3,37.5,111.0,18.0,105.0
1980-03-09 12:00:00,121,1980-03-09,1980-03-09 12:00:00,3641.0,3,37.5,111.0,25.5,100.5
1980-03-13 12:00:00,122,1980-03-13,1980-03-13 12:00:00,3668.0,2,33.0,69.0,25.5,48.0
1980-03-13 18:00:00,123,1980-03-13,1980-03-13 18:00:00,3668.0,2,39.0,66.0,25.5,49.5
1980-03-14 12:00:00,124,1980-03-14,1980-03-14 12:00:00,3677.0,2,33.0,70.5,30.0,52.5
1980-03-16 12:00:00,125,1980-03-16,1980-03-16 12:00:00,3695.0,3,39.0,69.0,19.5,31.5
1980-03-17 06:00:00,126,1980-03-17,1980-03-17 06:00:00,3708.0,3,31.5,66.0,24.0,48.0
1980-03-17 12:00:00,127,1980-03-17,1980-03-17 12:00:00,3708.0,3,34.5,69.0,24.0,52.5
1980-03-19 06:00:00,128,1980-03-19,1980-03-19 06:00:00,3719.0,2,45.0,51.0,19.5,42.0
1980-03-19 12:00:00,129,1980-03-19,1980-03-19 12:00:00,3719.0,2,45.0,54.0,19.5,42.0
1980-03-19 18:00:00,130,1980-03-19,1980-03-19 18:00:00,3719.0,2,48.0,55.5,16.5,51.0
