,date,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,prec,ivt,ivtdir,western_low,western_high,northwestern_low,northwestern_high,eastern_low,eastern_high,western_freeze,northwestern_freeze,eastern_freeze
0,1979-12-02,2861.0,1.0,1979-12-02 00:00:00,1979-12-02 18:00:00,18.0,,,,13.718994140625,152.0878597892328,224.91021331187994 degree,-171.72793227298612,410.4745761136333,-277.2624658282864,254.5832804026603,-556.3591169608467,243.80505276538406,1,1,-1
1,1979-12-01,2861.0,2.0,1979-12-01 00:00:00,1979-12-02 00:00:00,24.0,,,,17.5335693359375,245.0024409639672,220.23760859065467 degree,,538.5422249099317,,550.0661621964628,-687.7207019586933,324.72193382645946,1,1,-1
2,1979-12-09,2871.0,1.0,1979-12-09 06:00:00,1979-12-09 18:00:00,12.0,,,,5.6766357421875,108.57629970551012,231.68037841051355 degree,,570.4132854890008,,264.63021027010103,-638.593999951767,186.72320719494292,1,1,-1
3,1979-12-08,2871.0,2.0,1979-12-08 06:00:00,1979-12-09 00:00:00,18.0,,,,8.9854736328125,149.77087931525034,237.0652245325259 degree,-264.0493771633064,562.5197684878085,,525.1964761832443,-593.6907050464955,217.17977484110207,1,1,-1
4,1979-12-16,2975.0,1.0,1979-12-16 12:00:00,1979-12-17 00:00:00,12.0,,,,,69.22819411348405,270.4320425315212 degree,-232.33470634584637,151.81240894135863,,528.5962531471026,-659.4950267815865,,1,1,-1
5,1979-12-17,2975.0,3.0,1979-12-17 00:00:00,1979-12-17 06:00:00,6.0,,,,17.3525390625,272.28263691189653,238.35255709171548 degree,-480.1363932445659,,-131.33116163150785,266.44460672192594,-802.0961792570824,,-1,1,-1
6,1979-12-21,2988.0,1.0,1979-12-21 00:00:00,1979-12-22 12:00:00,36.0,,,,15.127197265625,191.855144925789,238.21083942230604 degree,-308.0199700564619,,-275.93283773938106,,-964.3694883435468,,-1,-1,-1
7,1979-12-24,3026.0,1.0,1979-12-24 06:00:00,1979-12-24 12:00:00,6.0,,,,3.0787353515625,83.56968752498157,263.4872290823872 degree,,,,,-120.28955528718231,582.8651670595362,0,0,1
8,1979-12-24,3033.0,1.0,1979-12-24 18:00:00,1979-12-25 00:00:00,6.0,,,,14.5152587890625,147.72054800556822,239.33782054715033 degree,,,,,-120.28955528718231,582.8651670595362,0,0,1
9,1979-12-25,3033.0,3.0,1979-12-25 00:00:00,1979-12-25 12:00:00,12.0,,,,,97.34333648259346,296.1117071594455 degree,-162.83933762578127,,-152.99031879358827,515.3598845849831,-121.16448826281447,489.9657962005811,-1,-1,1
10,1979-12-28,3038.0,1.0,1979-12-28 00:00:00,1979-12-28 18:00:00,18.0,,,,6.14013671875,76.21462891743438,282.46317475764266 degree,-212.68221357542154,,-317.55771897895215,,-190.29633825232713,,-1,-1,-1
