,trackID,ar_cat,start_date,end_date,duration
1,2861.0,1,1979-12-02 00:00:00,1979-12-02 18:00:00,18.0
2,2871.0,1,1979-12-09 06:00:00,1979-12-09 18:00:00,12.0
3,2975.0,1,1979-12-16 12:00:00,1979-12-17 00:00:00,12.0
4,2988.0,1,1979-12-21 00:00:00,1979-12-22 12:00:00,36.0
5,3026.0,1,1979-12-24 06:00:00,1979-12-24 12:00:00,6.0
6,3033.0,1,1979-12-24 18:00:00,1979-12-25 00:00:00,6.0
7,3038.0,1,1979-12-28 00:00:00,1979-12-28 18:00:00,18.0
8,3065.0,1,1979-12-30 12:00:00,1979-12-31 00:00:00,12.0
9,3137.0,1,1980-01-07 18:00:00,1980-01-08 00:00:00,6.0
11,3204.0,1,1980-01-15 00:00:00,1980-01-15 06:00:00,6.0
12,3223.0,1,1980-01-17 18:00:00,1980-01-18 12:00:00,18.0
13,3253.0,1,1980-01-24 00:00:00,1980-01-25 00:00:00,24.0
15,3281.0,1,1980-01-25 12:00:00,1980-01-25 18:00:00,6.0
20,3401.0,1,1980-02-12 00:00:00,1980-02-13 00:00:00,24.0
21,3465.0,1,1980-02-18 00:00:00,1980-02-19 12:00:00,36.0
22,3486.0,1,1980-02-21 00:00:00,1980-02-21 18:00:00,18.0
23,3540.0,1,1980-02-26 00:00:00,1980-02-27 00:00:00,24.0
24,3579.0,1,1980-03-03 00:00:00,1980-03-04 06:00:00,30.0
26,3603.0,1,1980-03-05 06:00:00,1980-03-06 00:00:00,18.0
33,3719.0,1,1980-03-20 00:00:00,1980-03-21 00:00:00,24.0
66,6344.0,1,1981-01-13 00:00:00,1981-01-13 06:00:00,6.0
70,6431.0,1,1981-01-28 00:00:00,1981-01-28 12:00:00,12.0
73,6534.0,1,1981-02-02 00:00:00,1981-02-03 18:00:00,42.0
77,6618.0,1,1981-02-12 06:00:00,1981-02-13 00:00:00,18.0
78,6624.0,1,1981-02-13 06:00:00,1981-02-14 00:00:00,18.0
80,6704.0,1,1981-02-22 06:00:00,1981-02-22 18:00:00,12.0
81,6718.0,1,1981-02-26 00:00:00,1981-02-26 18:00:00,18.0
83,6760.0,1,1981-03-04 00:00:00,1981-03-04 18:00:00,18.0
84,6783.0,1,1981-03-04 18:00:00,1981-03-05 06:00:00,12.0
85,6738.0,1,1981-03-13 00:00:00,1981-03-14 18:00:00,42.0
86,6843.0,1,1981-03-13 12:00:00,1981-03-15 00:00:00,36.0
87,6871.0,1,1981-03-17 00:00:00,1981-03-17 06:00:00,6.0
89,6887.0,1,1981-03-18 06:00:00,1981-03-18 12:00:00,6.0
92,6934.0,1,1981-03-28 00:00:00,1981-03-28 06:00:00,6.0
93,6958.0,1,1981-03-28 12:00:00,1981-03-28 18:00:00,6.0
94,6962.0,1,1981-03-29 00:00:00,1981-03-29 06:00:00,6.0
95,6965.0,1,1981-03-29 12:00:00,1981-03-30 00:00:00,12.0
96,6985.0,1,1981-04-01 12:00:00,1981-04-02 00:00:00,12.0
97,6994.0,1,1981-04-02 06:00:00,1981-04-02 12:00:00,6.0
104,7205.0,1,1981-04-28 00:00:00,1981-04-28 12:00:00,12.0
124,9350.0,1,1981-12-26 12:00:00,1981-12-26 18:00:00,6.0
126,9515.0,1,1982-01-17 12:00:00,1982-01-18 12:00:00,24.0
130,9605.0,1,1982-01-29 00:00:00,1982-01-30 00:00:00,24.0
131,9621.0,1,1982-02-02 00:00:00,1982-02-02 12:00:00,12.0
133,9680.0,1,1982-02-09 00:00:00,1982-02-10 12:00:00,36.0
134,9719.0,1,1982-02-14 12:00:00,1982-02-15 06:00:00,18.0
135,9758.0,1,1982-02-16 18:00:00,1982-02-18 00:00:00,30.0
136,9804.0,1,1982-02-22 06:00:00,1982-02-22 12:00:00,6.0
137,9810.0,1,1982-02-25 12:00:00,1982-02-27 06:00:00,42.0
142,9892.0,1,1982-03-07 00:00:00,1982-03-07 12:00:00,12.0
143,9900.0,1,1982-03-07 18:00:00,1982-03-08 00:00:00,6.0
146,9961.0,1,1982-03-15 06:00:00,1982-03-15 12:00:00,6.0
148,9994.0,1,1982-03-20 00:00:00,1982-03-22 00:00:00,48.0
149,10016.0,1,1982-03-20 12:00:00,1982-03-20 18:00:00,6.0
152,10064.0,1,1982-03-28 00:00:00,1982-03-30 12:00:00,60.0
153,10096.0,1,1982-03-31 12:00:00,1982-03-31 18:00:00,6.0
158,10251.0,1,1982-04-19 06:00:00,1982-04-19 12:00:00,6.0
167,12271.0,1,1982-12-07 06:00:00,1982-12-09 12:00:00,54.0
168,12302.0,1,1982-12-10 18:00:00,1982-12-12 00:00:00,30.0
176,12590.0,1,1983-01-20 12:00:00,1983-01-21 12:00:00,24.0
177,12616.0,1,1983-01-21 18:00:00,1983-01-22 00:00:00,6.0
178,12631.0,1,1983-01-25 00:00:00,1983-01-25 18:00:00,18.0
179,12649.0,1,1983-01-26 12:00:00,1983-01-28 12:00:00,48.0
183,12779.0,1,1983-02-09 12:00:00,1983-02-10 00:00:00,12.0
192,12918.0,1,1983-02-28 00:00:00,1983-03-01 00:00:00,24.0
195,12973.0,1,1983-03-07 00:00:00,1983-03-08 06:00:00,30.0
196,13011.0,1,1983-03-09 12:00:00,1983-03-09 18:00:00,6.0
197,13022.0,1,1983-03-10 06:00:00,1983-03-11 00:00:00,18.0
198,13034.0,1,1983-03-13 00:00:00,1983-03-13 18:00:00,18.0
199,13054.0,1,1983-03-13 00:00:00,1983-03-13 06:00:00,6.0
200,13060.0,1,1983-03-13 12:00:00,1983-03-13 18:00:00,6.0
