,date,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,prec,western_low,western_high,northwestern_low,northwestern_high,eastern_low,eastern_high,western_freeze,northwestern_freeze,eastern_freeze
0,1980-03-03,3579.0,1.0,1980-03-03 00:00:00,1980-03-04 06:00:00,30.0,,,,395.21462284968965,237.3397883961051 degree,31.51177978515625,-312.23991465854823,,-272.89571046509076,,-489.7019816210823,,-1,-1,-1
1,1980-03-01,3579.0,2.0,1980-03-01 00:00:00,1980-03-03 00:00:00,48.0,,,,229.8207397857213,202.1261583370351 degree,33.036376953125,-476.8173687201562,,-504.91902515363523,,-199.90397639046347,,-1,-1,-1
2,1980-03-05,3603.0,1.0,1980-03-05 06:00:00,1980-03-06 00:00:00,18.0,,,,566.2782864135079,189.96756565242995 degree,114.07568359375,-380.53179506482763,230.83583084283353,-1434.2847857886725,,-209.71859410903687,278.3668333594347,-1,-1,-1
3,1980-03-20,3719.0,1.0,1980-03-20 00:00:00,1980-03-21 00:00:00,24.0,,,,363.2368800279767,226.29818475823308 degree,24.817626953125,-288.3794036928697,326.6944107826987,-137.1641618384297,290.9874014839391,-216.33936369909952,362.4308641752369,1,-1,1
4,1980-03-19,3719.0,2.0,1980-03-19 06:00:00,1980-03-20 00:00:00,18.0,,,,405.017180656642,225.6835579217701 degree,20.99951171875,-295.36890454640127,273.0515101810138,-116.23023687789782,468.7075464021005,-188.65684010519368,,-1,1,-1
5,1980-03-21,3719.0,3.0,1980-03-21 00:00:00,1980-03-21 06:00:00,6.0,,,,131.64159050327785,325.2622409278988 degree,,-215.6378420754141,185.6463351698329,-285.23834658929565,,-132.53209632327994,526.7641321528417,-1,-1,1
6,1981-03-04,6760.0,1.0,1981-03-04 00:00:00,1981-03-04 18:00:00,18.0,,,,303.3273260124117,229.16384623442448 degree,33.5472412109375,-153.93524735799636,501.58763639322495,-128.30284256794002,341.6961564689022,-164.34372634563616,439.1520728550168,1,1,1
7,1981-03-02,6760.0,2.0,1981-03-02 06:00:00,1981-03-04 00:00:00,42.0,,,,265.38434674158367,230.28353307558112 degree,39.160400390625,-239.04668874773702,,-282.590776063633,,-248.2954143760314,,-1,-1,-1
8,1981-03-04,6783.0,1.0,1981-03-04 18:00:00,1981-03-05 06:00:00,12.0,,,,352.93602400419627,234.540744222171 degree,32.30712890625,-153.93524735799636,501.58763639322495,-128.30284256794002,341.6961564689022,-164.34372634563616,439.1520728550168,1,1,1
9,1981-03-13,6738.0,1.0,1981-03-13 00:00:00,1981-03-14 18:00:00,42.0,,,,432.3273246925404,162.99708239577416 degree,32.8853759765625,-321.1723600900327,,,597.6550660726233,-144.03169757659686,290.2843613502332,-1,1,1
10,1981-03-13,6843.0,1.0,1981-03-13 12:00:00,1981-03-15 00:00:00,36.0,,,,432.3273246925404,162.99708239577416 degree,31.345947265625,-321.1723600900327,,,597.6550660726233,-144.03169757659686,290.2843613502332,-1,1,1
11,1981-03-15,6843.0,3.0,1981-03-15 00:00:00,1981-03-15 18:00:00,18.0,,,,368.2594471395968,221.3506251755057 degree,10.0546875,-287.8037659352139,90.90598476324726,-217.87322329188487,,-205.09017514075916,286.62385988046736,-1,-1,1
12,1981-03-17,6871.0,1.0,1981-03-17 00:00:00,1981-03-17 06:00:00,6.0,,,,181.51872479084489,321.5168542392583 degree,3.05303955078125,-217.93856788225185,411.65201755221483,,,-217.9413962302069,,1,0,-1
13,1981-03-16,6871.0,3.0,1981-03-16 18:00:00,1981-03-17 00:00:00,6.0,,,,429.78656496558773,246.0691542671483 degree,38.6845703125,-301.02729315967764,,-340.31512192737955,,-166.6163300271525,260.0607626738125,-1,-1,1
14,1981-03-18,6887.0,1.0,1981-03-18 06:00:00,1981-03-18 12:00:00,6.0,,,,200.97619338516938,233.91132449811664 degree,16.28564453125,-335.42321656299146,354.07147530058154,-464.92899478030324,,-224.11590770310875,349.59798769724307,1,-1,1
15,1981-03-28,6934.0,1.0,1981-03-28 00:00:00,1981-03-28 06:00:00,6.0,,,,291.42295413289963,307.0405659024672 degree,,-140.43843844918806,509.2585532962787,-197.14392076236194,673.8821798362866,-334.37475337348593,,1,1,-1
16,1981-03-27,6934.0,2.0,1981-03-27 06:00:00,1981-03-28 00:00:00,18.0,,,,138.93697119085417,258.09199741953915 degree,,-190.7992570101073,471.77123347837124,-200.45636793496672,570.4577935955695,-377.4617779600048,,1,1,-1
17,1981-03-28,6958.0,1.0,1981-03-28 12:00:00,1981-03-28 18:00:00,6.0,,,,199.73546217514453,280.0320532861749 degree,9.4371337890625,-140.43843844918806,509.2585532962787,-197.14392076236194,673.8821798362866,-334.37475337348593,,1,1,-1
18,1981-03-29,6962.0,1.0,1981-03-29 00:00:00,1981-03-29 06:00:00,6.0,,,,226.50152783792902,198.45791421784594 degree,15.294677734375,-264.9551317424304,456.04149264725027,-241.21308357811878,495.10843267466794,-245.52017205250579,338.4080209848995,1,-1,-1
19,1981-03-29,6965.0,1.0,1981-03-29 12:00:00,1981-03-30 00:00:00,12.0,,,,369.0841877289603,225.49261275051916 degree,44.0126953125,-264.9551317424304,456.04149264725027,-241.21308357811878,495.10843267466794,-245.52017205250579,338.4080209848995,1,-1,-1
20,1981-03-30,6965.0,3.0,1981-03-30 00:00:00,1981-03-30 12:00:00,12.0,,,,216.34294477145633,208.34810932491814 degree,48.60205078125,-279.8265306823052,,-559.6427205211946,,-183.61655491219904,283.58393139210057,-1,-1,1
21,1981-04-01,6985.0,1.0,1981-04-01 12:00:00,1981-04-02 00:00:00,12.0,,,,143.7746640202901,258.8867155169959 degree,13.5499267578125,-261.2131971244008,,-329.62978416235654,,-348.2467578741544,,-1,-1,-1
22,1981-04-02,6994.0,1.0,1981-04-02 06:00:00,1981-04-02 12:00:00,6.0,,,,130.57746873280135,211.4545368562136 degree,13.575592041015625,-364.12907325421526,,-352.75765200334735,,-384.5027340979319,,-1,-1,-1
23,1981-04-28,7205.0,1.0,1981-04-28 00:00:00,1981-04-28 12:00:00,12.0,,,,130.2112521500258,160.67210684714382 degree,1.986572265625,-1050.3194562781184,385.21837615539926,-883.0117461718357,567.1326947754978,-368.5890140458618,,-1,-1,-1
24,1982-03-07,9892.0,1.0,1982-03-07 00:00:00,1982-03-07 12:00:00,12.0,,,,158.4917012181768,148.03057459626018 degree,10.219970703125,-885.040886373087,,-708.4647667943042,,-216.38056543609153,,-1,-1,-1
25,1982-03-06,9892.0,3.0,1982-03-06 12:00:00,1982-03-07 00:00:00,12.0,,,,755.2141212155235,247.91737471492945 degree,39.801513671875,-770.3415637320389,,-1374.1138015613037,,-151.96393290162823,349.72772238479274,-1,-1,-1
26,1982-03-07,9900.0,1.0,1982-03-07 18:00:00,1982-03-08 00:00:00,6.0,,,,63.513721881816394,152.17588126362529 degree,2.197265625,-885.040886373087,,-708.4647667943042,,-216.38056543609153,,-1,-1,-1
27,1982-03-15,9961.0,1.0,1982-03-15 06:00:00,1982-03-15 12:00:00,6.0,,,,146.20295067458324,296.84388002873203 degree,2.5062255859375,-245.1979203485746,,-335.37817013644093,,-152.17056265584736,,-1,-1,-1
28,1982-03-20,9994.0,1.0,1982-03-20 00:00:00,1982-03-22 00:00:00,48.0,,,,429.88174862644,243.83498555882608 degree,83.12646484375,-421.79147867918545,377.47114929945184,-258.9585955199915,,-242.19609286196464,309.19971031111027,-1,-1,-1
29,1982-03-19,9994.0,2.0,1982-03-19 06:00:00,1982-03-20 00:00:00,18.0,,,,334.00558669522553,232.73856469419263 degree,32.70001220703125,,,,,-218.37034515907123,,0,0,-1
30,1982-03-20,10016.0,1.0,1982-03-20 12:00:00,1982-03-20 18:00:00,6.0,,,,391.5031141334296,223.50844932530117 degree,27.416015625,-421.79147867918545,377.47114929945184,-258.9585955199915,,-242.19609286196464,309.19971031111027,-1,-1,-1
31,1982-03-28,10064.0,1.0,1982-03-28 00:00:00,1982-03-30 12:00:00,60.0,,,,409.29610638609574,228.69511688460636 degree,98.220703125,-256.5713632902878,,-252.17351692772445,,-194.37738834206186,234.06550206798906,-1,-1,-1
32,1982-03-27,10064.0,2.0,1982-03-27 00:00:00,1982-03-28 00:00:00,24.0,,,,234.76766703817978,219.33764303613293 degree,20.0992431640625,-423.28368557625805,,-275.9599804881878,,-268.89846058657156,,-1,-1,-1
33,1982-03-31,10096.0,1.0,1982-03-31 12:00:00,1982-03-31 18:00:00,6.0,,,,199.43816799703578,271.14007009147497 degree,11.31396484375,-314.4377551957324,457.3997262572467,-636.4354406102414,,-163.71387530211476,339.3621880078384,1,-1,1
34,1982-04-19,10251.0,1.0,1982-04-19 06:00:00,1982-04-19 12:00:00,6.0,,,,101.72651128999392,319.4226885746903 degree,13.39697265625,-840.065243413583,380.4196610376903,-789.9284160050363,625.4972278719979,-399.04495341705814,,-1,1,-1
35,1983-03-07,12973.0,1.0,1983-03-07 00:00:00,1983-03-08 06:00:00,30.0,,,,350.36252760156754,260.4719429789278 degree,34.5067138671875,-317.1474903033805,305.43288908677204,-301.61451061437225,185.86318778791625,-387.4058263952721,,-1,-1,-1
36,1983-03-06,12973.0,2.0,1983-03-06 06:00:00,1983-03-07 00:00:00,18.0,,,,433.9664674936754,237.42396109691362 degree,30.4803466796875,-243.7891213247887,,-209.2773385027349,594.7412012465795,-468.7134257720537,,-1,1,-1
37,1983-03-09,13011.0,1.0,1983-03-09 12:00:00,1983-03-09 18:00:00,6.0,,,,279.4320731799642,176.5735436408952 degree,23.478515625,-329.31340303293086,,-423.77307098375263,,-55.98063877561318,530.1947037476702,-1,-1,1
38,1983-03-10,13022.0,1.0,1983-03-10 06:00:00,1983-03-11 00:00:00,18.0,,,,322.7844894863788,164.90525346496997 degree,34.32470703125,-251.68969571601366,396.40715907046376,-258.68847708114504,,,546.8382155285951,-1,-1,1
