,event_date,source_name,source_link,event_id,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,AR_CAT,kidmap
0,2007-03-19 00:00:00,Tribune India.com,,37.0,,Doba,"2 killed, 5 injured",Doba,25km,landslide,rain,medium,unknown,2.0,,,,,glc,37.0,India,IN,Kashmir,14711.0,Kupwāra,18.10887,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.3333,33.8778,1.0,88266.0
1,2015-04-02 00:00:00,The Northlines,http://thenorthlines.com/readMore.aspx?nid=38648,7176.0,,Frasthar,38 houses have been damaged due to landslide,Frasthar,1km,landslide,continuous_rain,medium,natural_slope,0.0,0.0,,,,glc,7176.0,India,IN,Kashmir,14965.0,Pattan,7.66465,07/13/2015 07:12:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.4725,34.1587,1.0,114920.0
2,2016-02-22 23:00:00,The Himalayan Times,https://thehimalayantimes.com/nepal/5-missing-in-annapurna-south-narchyang-dry-landslide/,9319.0,,base of Mt Annapurna South at Narchyang VDC,"At least five persons have gone missing after a dry landslide struck the base of Mt Annapurna South at Narchyang VDC – 1 of Myagdi district of western Nepal on Monday night.  It has been learned that Tak Bahadur Thajali, Sher Bahadur Thajali, Dil Bahadur Thajali of Lek Gaun, Narchyang-5; Hukum Pun of Narchyang-6, and Tar Bahadur Phagami of Narchyang-4 have gone out of contact after the landslide. The landslide that started since midnight has released a huge cloud of dust affecting the general life in Narchyang, Dana, Bhurung, Tatopani, Shik, Ghar and Dowa VDCs of Myagdi district. The rescue teams from the Nepal Army and Nepal Police have not yet reached the incident site due to lack of road, said Deputy Superintendent of Police, Bishworaj Khadka.  The five persons had gone to a jungle at the base of Mount Annapurna South to collect bamboo on Monday afternoon.  Locals have not been able to come out of their houses due to the dust while schools too have been affected, DSP Khadka informed",base of Mt Annapurna South at Narchyang VDC,25km,landslide,unknown,medium,unknown,0.0,5.0,,,,glc,9319.0,Nepal,NP,Western Region,2860.0,Chitre,18.73918,08/02/2016 06:50:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,83.7508,28.5873,,
3,2014-02-28 00:00:00,eKantipur.com,http://www.ekantipur.com/2014/02/28/national/baitadi-landslide-displaces-35-families/386010.html#http://www.ekantipur.com/2014/02/28/national/baitadi-landslide-displaces-35-families/386010.html,5909.0,,Mahakali Hwy 10200,"Thirty-five families have been displaced by a landslide at Malladehi VDC in the district. Around a hundred families of villages like Danapur, Lamuni and Pelkhet have seen their lands eroded so far.According to reports, the perennial landslip started around 40 years ago. “I moved my house three times just to escape the landslide, but to no avail,” said local resident Gyan Singh Saud.“We are living in fear of the landslide sweeping away our house and land anytime,” said another local Bhawani Joshi.",Mahakali Hwy 10200,5km,landslide,unknown,large,above_road,0.0,0.0,,,,glc,5909.0,Nepal,NP,Western Region,18317.0,Dārchulā,32.0185,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.67,29.58,3.0,111285.0
4,2011-02-13 00:00:00,Daily News and Analysis,http://www.dnaindia.com/india/report_j-and-k-highway-closed-for-traffic-for-second-day-due-to-landslides_1508148,3116.0,,"Srinagar-Jammu Natl. Hwy., at Panthal, Srinagar, Jammu and Kashmir","Jammu-Srinagar National Highway, connecting Kashmir Valley to the outside world, remained closed for traffic for the second consecutive day following landslides at Panthal.  ""The highway is closed for traffic. There have been landslides at Panthal,"" an official of the traffic control room said in Srinagar, adding it was unclear when the road would be open for traffic.","Srinagar-Jammu Natl. Hwy., at Panthal, Srinagar, Jammu and Kashmir",25km,landslide,rain,medium,above_road,,,,,,glc,3116.0,India,IN,Kashmir,3278.0,Banihāl,5.78589,09/15/2014 05:13:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.1921061,33.33875958,1.0,101168.0
5,2011-02-13 00:00:00,dnaindia,http://www.dnaindia.com/india/report_j-and-k-highway-closed-for-traffic-for-second-day-due-to-landslides_1508148,3115.0,,"Srinagar-Jammu Natl. Hwy., at Digdole(Digdol)(9 km south of Panthal), Srinagar, Jammu and Kashmir","Fresh snowfall around Jawahar tunnel and landslides at Digdole and Panthal had resulted in closure of the 294-km Srinagar-Jammu national highway.  ...  Jammu-Srinagar National Highway, connecting Kashmir Valley to the outside world, remained closed for traffic for the second consecutive day following landslides at Panthal.  ""The highway is closed for traffic. There have been landslides at Panthal,"" an official of the traffic control room said in Srinagar, adding it was unclear when the road would be open for traffic.","Srinagar-Jammu Natl. Hwy., at Digdole(Digdol)(9 km south of Panthal), Srinagar, Jammu and Kashmir",5km,landslide,snowfall_snowmelt,medium,unknown,0.0,,,,,glc,3115.0,India,IN,Kashmir,3278.0,Banihāl,9.75302,09/10/2014 08:01:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.1827,33.3037,1.0,101168.0
6,2011-02-13 00:00:00,dnaindia,http://www.dnaindia.com/india/report_j-and-k-highway-closed-for-traffic-for-second-day-due-to-landslides_1508148,3114.0,,"Batote-Doda-Kishtwar road, at Jathi(?) and Drabshalla, Jammu and Kashmir","The Batote-Doda-Kishtwar road was also blocked for traffic due to landslide at Jathi and Drabshalla area near Jammu for the second day today, he said.  Border Roads Organisation personnel are working to clear the landslide and repair the road washed away by flashfloods, he said.  ...  Jammu-Srinagar National Highway, connecting Kashmir Valley to the outside world, remained closed for traffic for the second consecutive day following landslides at Panthal.  ""The highway is closed for traffic. There have been landslides at Panthal,"" an official of the traffic control room said in Srinagar, adding it was unclear when the road would be open for traffic.","Batote-Doda-Kishtwar road, at Jathi(?) and Drabshalla, Jammu and Kashmir",5km,landslide,snowfall_snowmelt,medium,unknown,0.0,,,,,glc,3114.0,India,IN,Kashmir,20553.0,Kishtwār,15.28833,09/10/2014 08:12:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.8101,33.1804,1.0,101168.0
7,2012-01-12 22:00:00,thehindu,http://www.thehindu.com/news/states/other-states/article2801278.ece,4139.0,,"Shatani Nallah, Ramban District","The 300-km-long Jammu-Srinagar national highway reopened for vehicular traffic today, a day after it was shut due to landslide in Ramban district. One-way movement of traffic from Srinagar to Jammu on the highway was allowed, officials said. Around 300 vehicles, stranded on the highway, left for their respective destinations, they said. The highway was closed following a landslide at Shatani Nallah yesterday.","Shatani Nallah, Ramban District",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,4139.0,India,IN,Kashmir,7317.0,Rāmban,0.20466,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.2373,33.2407,,
8,2011-02-16 18:00:00,greaterkashmir,http://www.greaterkashmir.com/news/2011/Feb/17/highway-closed-again-66.asp,3128.0,,"near Ramban, Jammu-Srinagar hwy, Jammu and Kashmir","Feb 16: The 300-km Srinagar-Jammu highway which was partially reopened for one-way traffic this morning from Jammu to Srinagar was closed again in the evening following incessant rains and snowfall which triggered fresh landslides at many places.  …  dding the fresh landslides near Digdol and Ramban blocked the road again forcing them to suspend the vehicular traffic again around 5:00 PM,” he said.","near Ramban, Jammu-Srinagar hwy, Jammu and Kashmir",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,3128.0,India,IN,Kashmir,7317.0,Rāmban,2.2462,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.244,33.2609,,
9,2011-02-16 18:00:00,greaterkashmir,http://www.greaterkashmir.com/news/2011/Feb/17/highway-closed-again-66.asp,3127.0,,"near Digdol, Jammu-Srinagar hwy, Jammu and Kashmir","Feb 16: The 300-km Srinagar-Jammu highway which was partially reopened for one-way traffic this morning from Jammu to Srinagar was closed again in the evening following incessant rains and snowfall which triggered fresh landslides at many places.  …  dding the fresh landslides near Digdol and Ramban blocked the road again forcing them to suspend the vehicular traffic again around 5:00 PM,” he said.","near Digdol, Jammu-Srinagar hwy, Jammu and Kashmir",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,3127.0,India,IN,Kashmir,3278.0,Banihāl,9.75302,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.1774,33.3308,,
